First, Second
der Arzt, Doctor
die Krankenschwester, Nurse
der Lehrer, Teacher
der Anwalt, Lawyer
der Ingenieur, Engineer
der Architekt, Architect
der Buchhalter, Accountant
der Computerspezialist, Computer programmer
der Schauspieler, Actor
die Schauspielerin, Actress
der Sänger, Singer
der Tänzer, Dancer
der Künstler, Artist
der Musiker, Musician
der Schriftsteller, Writer
der Journalist, Journalist
der Fotograf, Photographer

