First, Second
der Apfel, Apple
die Banane, Banana
die Orange, Orange
die Zitrone, Lemon
der Pfirsich, Peach
der Birne, Pear
der Weintraube, Grape
die Erdbeere, Strawberry
die Himbeere, Raspberry
die Heidelbeere, Blueberry
