First, Second
das Brot, Bread
der Käse, Cheese
das Ei, Egg
das Fleisch, Meat
der Fisch, Fish
der Reis, Rice
die Nudeln, Pasta
die Gemüse, Vegetables
das Obst, Fruit
die Suppe, Soup
die Pizza, Pizza
der Hamburger, Hamburger
der Hotdog, Hot dog
das Sandwich, Sandwich
der Salat, Salad
die Wurst, Sausage
der Speck, Bacon
das Hähnchen, Chicken
das Rindfleisch, Beef
das Lammfleisch, Lamb
das Schweinefleisch, Pork
der Truthahn, Turkey
der Ente, Duck
die Gans, Goose
